Experiment,Created,Number of Documents,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,step,Coherence,Perplexity,RANDOM_SEED,train_data_path,test_data_path,procd_text,extract_sample.fraction,extract_sample.stratify_column,feature_engineering.bow,feature_engineering.tfidf,feature_engineering.ngram,feature_engineering.bert,feature_engineering.bert_pretrained_model,clustering_bert.algorithm,clustering_bert.num_clusters,clustering_bert.eps,clustering_bert.min_samples,topic_modeling.feature,topic_modeling.algorithm,topic_modeling.cluster,topic_modeling.num_topics
apish-salp,05:58 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.41857820316352534,-14.391042468468974,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,lda,False,20.0
salic-jiao,05:56 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.4173350500196046,-13.882440570873111,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,lda,False,18.0
alone-tier,05:50 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.4422563804612601,-13.374778723559352,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,lda,False,16.0
adunc-woes,05:48 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.4332504733817464,-12.857757543306882,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,lda,False,14.0
minor-yack,05:41 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.4090504890848325,-12.88292759098557,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,lda,True,20.0
amiss-nard,05:39 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.45697846704040596,-12.31576448625774,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,lda,False,12.0
awash-tier,05:30 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.4067599001485133,-12.565742965358453,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,lda,True,18.0
volar-pate,05:29 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.4009859047041813,-12.265184164707646,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,lda,True,16.0
toned-nock,05:19 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.3980652324058836,-11.944010496856267,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,lda,True,14.0
purer-daze,05:18 PM,32259.0,0.019162125885486603,3.465213958461889,2320.67089735979,,0.39839745198868537,-11.60681823903873,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,5.0,0.2,5.0,bow,lda,True,12.0
blind-shah,05:07 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.37707639081131605,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,nmf,False,20.0
smoky-seed,05:06 PM,32259.0,0.04296764358878136,3.45393118107604,2768.048420781438,,0.4075720449382628,None,42.0,sample_train,test,lemma_wo_stpwrd,0.2,None,True,True,bigram,True,bert-base-uncased,hierarchical,4.0,0.2,5.0,tfidf,nmf,False,18.0
